FID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Total Population,Total Housing Units,Shape__Area,Shape__Length
220,49,049,002001,49049002001,20.01,Census Tract,G5020,S,898372,0,40.2412138,-111.670596,3357,1217,1543537.164,6327.002981
219,49,049,002002,49049002002,20.02,Census Tract,G5020,S,1125355,0,40.2384669,-111.6805424,3223,1008,1933366.855,5738.345902
365,49,049,002101,49049002101,21.01,Census Tract,G5020,S,2121288,0,40.2535945,-111.6879806,4206,1300,3646019.047,10064.24895
366,49,049,002102,49049002102,21.02,Census Tract,G5020,S,1745742,0,40.247233,-111.6809981,3098,965,2999974.285,9312.683399
446,49,049,002204,49049002204,22.04,Census Tract,G5020,S,5841535,0,40.2510313,-111.7145293,4520,1212,10039504.28,14542.35261
447,49,049,002205,49049002205,22.05,Census Tract,G5020,S,3836770,24222,40.2358893,-111.7170757,4427,1347,6633247.277,18544.77885
16,49,049,002206,49049002206,22.06,Census Tract,G5020,S,1669210,0,40.2296403,-111.6918124,3314,1002,2866979.074,7594.196236
356,49,049,002208,49049002208,22.08,Census Tract,G5020,S,4072198,0,40.3094058,-111.7555197,6588,1889,7010657.445,12698.86012
342,49,049,002209,49049002209,22.09,Census Tract,G5020,S,6990263,0,40.3115896,-111.7376755,3869,1863,12035150.15,15583.08752
349,49,049,002210,49049002210,22.1,Census Tract,G5020,S,1140123,0,40.2824717,-111.7276113,2728,786,1961272.316,6528.379117
204,49,049,002211,49049002211,22.11,Census Tract,G5020,S,1250567,0,40.2677473,-111.7168384,2117,674,2150327.012,7192.227266
198,49,049,002212,49049002212,22.12,Census Tract,G5020,S,9487020,0,40.2795641,-111.7425527,5502,1568,16318499.72,19888.74487
56,49,049,002213,49049002213,22.13,Census Tract,G5020,S,12842902,0,40.2143115,-111.6872614,3935,1032,22048653.96,32876.37809
143,49,049,002300,49049002300,23,Census Tract,G5020,S,1319622,0,40.2298421,-111.6721768,3683,1358,2266556.477,6836.414538
303,49,049,002400,49049002400,24,Census Tract,G5020,S,991590,0,40.2331196,-111.6609779,2149,1111,1703296.941,7414.005218
2,49,049,002500,49049002500,25,Census Tract,G5020,S,1034541,0,40.2296149,-111.6497278,4218,1653,1776891.066,5588.845931
98,49,049,002702,49049002702,27.02,Census Tract,G5020,S,12001667,0,40.2068624,-111.6081619,4975,1538,20599918.18,20953.77489
346,49,049,002703,49049002703,27.03,Census Tract,G5020,S,999706,0,40.2266819,-111.6369461,2794,882,1716915.016,5989.776234
456,49,049,002901,49049002901,29.01,Census Tract,G5020,S,12681326,0,40.1647516,-111.6310728,8681,2419,21739694.78,19866.32637
457,49,049,002902,49049002902,29.02,Census Tract,G5020,S,1970209,0,40.1720951,-111.6142632,3579,1201,3378276.328,10436.98724
463,49,049,003001,49049003001,30.01,Census Tract,G5020,S,2464039,0,40.1785789,-111.6048203,4473,1389,4225824.844,11237.69061
464,49,049,003002,49049003002,30.02,Census Tract,G5020,S,5022199,0,40.1745775,-111.5831745,2227,704,8612070.855,14721.02885
465,49,049,003103,49049003103,31.03,Census Tract,G5020,S,1813867,0,40.1539525,-111.5890899,2814,798,3108542.32,7739.249336
99,49,049,003104,49049003104,31.04,Census Tract,G5020,S,6447825,0,40.1578822,-111.5651687,4257,1113,11051336.19,16585.90525
100,49,049,003105,49049003105,31.05,Census Tract,G5020,S,1821719,0,40.1623456,-111.6002674,3838,1361,3122766.281,8168.987503
466,49,049,003106,49049003106,31.06,Census Tract,G5020,S,1730464,0,40.1493479,-111.6041325,2856,858,2965205.992,8521.732214
142,49,049,003201,49049003201,32.01,Census Tract,G5020,S,1554968,0,40.1200505,-111.6472352,2664,899,2662215.156,7504.273604
304,49,049,003203,49049003203,32.03,Census Tract,G5020,S,3199044,0,40.0969331,-111.6422829,4014,1129,5473299.773,10075.28781
467,49,049,003204,49049003204,32.04,Census Tract,G5020,S,1238687,0,40.1103247,-111.6476386,2725,954,2120111.512,6075.399642
468,49,049,003205,49049003205,32.05,Census Tract,G5020,S,1701049,0,40.1061007,-111.632043,3993,1119,2911135.016,8237.245464
197,49,049,003301,49049003301,33.01,Census Tract,G5020,S,2192964,0,40.1032614,-111.6661769,4205,1174,3752672.238,9128.671155
358,49,049,003302,49049003302,33.02,Census Tract,G5020,S,1961446,0,40.1139774,-111.6625946,3034,966,3357538.871,8632.725627
3,49,049,003401,49049003401,34.01,Census Tract,G5020,S,9085765,23788,40.0560227,-111.712257,3896,1233,15566739.17,18878.82528
305,49,049,003403,49049003403,34.03,Census Tract,G5020,S,3321887,0,40.0330523,-111.7448871,5315,1585,5672907.945,11192.20067
53,49,049,003404,49049003404,34.04,Census Tract,G5020,S,2541711,0,40.0346672,-111.7155241,2361,709,4340776.969,9574.133087
208,49,049,003405,49049003405,34.05,Census Tract,G5020,S,2625658,0,40.032305,-111.7307052,3935,1170,4483830.551,11118.28687
141,49,023,010100,49023010100,101,Census Tract,G5020,S,51298337,0,39.7075428,-111.8650645,6653,2217,86783124.73,40951.64767
469,49,049,010107,49049010107,101.07,Census Tract,G5020,S,641232224,177110,40.2359905,-112.0752235,5765,1349,1102053718,223981.1065
621,49,049,010110,49049010110,101.1,Census Tract,G5020,S,5619395,228993,40.3969272,-111.8826956,5326,1229,10094273.21,15230.79195
201,49,049,010114,49049010114,101.14,Census Tract,G5020,S,16378471,0,40.3196562,-111.9938423,7244,1754,28205511.74,23549.17979
340,49,049,010115,49049010115,101.15,Census Tract,G5020,S,74202713,0,40.2668808,-111.9872424,3604,934,127587392.3,52658.8229
352,49,049,010116,49049010116,101.16,Census Tract,G5020,S,14956427,0,40.3023805,-111.9162718,7299,1778,25743540.02,26696.09548
353,49,049,010117,49049010117,101.17,Census Tract,G5020,S,18929013,0,40.3245179,-111.9398977,3801,811,32602495.92,28146.84887
51,49,049,010118,49049010118,101.18,Census Tract,G5020,S,3114517,0,40.346654,-111.911038,5723,1547,5366604.172,14922.12716
205,49,049,010119,49049010119,101.19,Census Tract,G5020,S,4225590,0,40.3474575,-111.9923429,2622,629,7282881.391,13565.19308
359,49,049,010120,49049010120,101.2,Census Tract,G5020,S,9010841,0,40.3467276,-111.9668515,11715,2757,15530016.13,19137.7776
351,49,049,010121,49049010121,101.21,Census Tract,G5020,S,8146776,0,40.3729211,-111.95428,9403,2322,14051654.23,15476.82031
214,49,049,010122,49049010122,101.22,Census Tract,G5020,S,12411180,0,40.3615175,-112.0021352,7132,1731,21399740.89,22844.21579
350,49,049,010123,49049010123,101.23,Census Tract,G5020,S,7719064,0,40.4026627,-111.9325297,7623,1947,13325590.49,15608.3313
217,49,049,010124,49049010124,101.24,Census Tract,G5020,S,5245914,20222,40.4032762,-111.9093644,5299,1864,9091502.465,15819.62844
52,49,049,010125,49049010125,101.25,Census Tract,G5020,S,11787568,54958,40.3654602,-111.9241466,3542,1024,20421919.05,25168.96594
216,49,049,010126,49049010126,101.26,Census Tract,G5020,S,5022151,231999,40.3734527,-111.8968931,3115,725,9062799.082,15081.82485
215,49,049,010127,49049010127,101.27,Census Tract,G5020,S,5698166,51547,40.3711028,-111.8745922,6391,1686,9916966.117,16587.87458
203,49,049,010128,49049010128,101.28,Census Tract,G5020,S,4300939,20570,40.4307668,-111.8962854,4394,1227,7466548.922,17286.65436
213,49,049,010129,49049010129,101.29,Census Tract,G5020,S,5943801,316270,40.4183103,-111.8975923,5147,1358,10812534.91,18002.67517
202,49,049,010130,49049010130,101.3,Census Tract,G5020,S,2505990,0,40.3723701,-111.8580535,4250,997,4322280.902,8317.076146
57,49,049,010131,49049010131,101.31,Census Tract,G5020,S,21840663,26864,40.3527923,-111.8004871,5060,1498,37696527.45,34093.01406
622,49,049,010132,49049010132,101.32,Census Tract,G5020,S,71814669,359844715,40.2041976,-111.8939504,4378,1066,741056400.4,192642.9103
140,49,023,010200,49023010200,102,Census Tract,G5020,S,8733109185,36542088,39.71412,-112.790471,5133,1599,14833974421,855830.492
424,49,049,010208,49049010208,102.08,Census Tract,G5020,S,5347057,0,40.4467884,-111.7921185,4107,1018,9242780.359,13730.57688
7,49,049,010209,49049010209,102.09,Census Tract,G5020,S,6765130,0,40.4440183,-111.7673794,5649,1528,11693063.32,16292.28864
4,49,049,010210,49049010210,102.1,Census Tract,G5020,S,15810476,0,40.4005884,-111.7306856,5868,1592,27292325.93,26101.42558
10,49,049,010211,49049010211,102.11,Census Tract,G5020,S,76536151,26992,40.4888428,-111.7277764,3898,1047,132504715.7,61402.53804
425,49,049,010212,49049010212,102.12,Census Tract,G5020,S,18915270,0,40.4511984,-111.8762829,9953,3043,32700661.45,24030.97531
426,49,049,010213,49049010213,102.13,Census Tract,G5020,S,3290447,0,40.3981295,-111.760351,3240,792,5679615.348,10582.10855
441,49,049,010216,49049010216,102.16,Census Tract,G5020,S,2969781,0,40.4248218,-111.8397078,3544,950,5130148.188,11005.80971
537,49,049,010217,49049010217,102.17,Census Tract,G5020,S,21139485,0,40.455775,-111.8267643,7135,1919,36550803.37,28208.65452
442,49,049,010219,49049010219,102.19,Census Tract,G5020,S,6447254,0,40.4198858,-111.7879949,5704,1515,11135686.28,14109.01159
538,49,049,010220,49049010220,102.2,Census Tract,G5020,S,9371841,0,40.425371,-111.7439811,6336,1575,16189672.63,20143.53392
211,49,049,010221,49049010221,102.21,Census Tract,G5020,S,2027559,0,40.4253481,-111.8762321,2032,668,3502567.418,8701.450889
212,49,049,010222,49049010222,102.22,Census Tract,G5020,S,3393100,0,40.4229336,-111.8591969,7105,1746,5861088.992,9660.472014
343,49,049,010223,49049010223,102.23,Census Tract,G5020,S,2654486,0,40.4258728,-111.8152355,2489,555,4585640.656,9397.090338
344,49,049,010224,49049010224,102.24,Census Tract,G5020,S,3901284,0,40.4135191,-111.8161608,3619,845,6737031.172,10607.07826
55,49,049,010225,49049010225,102.25,Census Tract,G5020,S,3025882,0,40.3837989,-111.7592711,4188,1018,5220737.836,9159.138898
354,49,049,010226,49049010226,102.26,Census Tract,G5020,S,2688306,0,40.3827543,-111.7404495,3751,949,4638161.191,9009.447501
539,49,049,010303,49049010303,103.03,Census Tract,G5020,S,9795433,0,40.1402503,-111.5661963,5205,1396,16780385.17,22382.50067
540,49,049,010305,49049010305,103.05,Census Tract,G5020,S,34035766,0,40.105702,-111.5633371,3974,1055,58247283.36,31412.46756
348,49,049,010306,49049010306,103.06,Census Tract,G5020,S,6797750,0,40.1334088,-111.6318856,2282,695,11642775.79,14451.07737
200,49,049,010307,49049010307,103.07,Census Tract,G5020,S,5821105,0,40.1056731,-111.6120424,6502,1595,9961973.301,16766.81351
218,49,049,010308,49049010308,103.08,Census Tract,G5020,S,5881222,0,40.1265749,-111.6104064,4919,1247,10070996.21,15091.53391
443,49,049,010404,49049010404,104.04,Census Tract,G5020,S,2107067,0,40.0903961,-111.6236493,5188,1275,3604331.406,8102.794113
444,49,049,010405,49049010405,104.05,Census Tract,G5020,S,1631373,0,40.0891288,-111.607888,3893,961,2790509.719,8604.842299
12,49,049,010406,49049010406,104.06,Census Tract,G5020,S,30907295,0,40.0770613,-111.6593552,3555,981,52849187.18,43935.54175
448,49,049,010407,49049010407,104.07,Census Tract,G5020,S,7600019,58009,40.0401701,-111.6906984,2652,787,13081116.61,19317.31447
449,49,049,010408,49049010408,104.08,Census Tract,G5020,S,6316882,0,40.0490244,-111.6598208,4745,1291,10792579.1,15918.09789
11,49,049,010409,49049010409,104.09,Census Tract,G5020,S,45040470,0,39.9440138,-111.7630224,3721,958,76718631.01,43857.38986
92,49,049,010410,49049010410,104.1,Census Tract,G5020,S,14489132,27969,40.0036126,-111.7405956,4410,1183,24771208.62,26955.87314
93,49,049,010411,49049010411,104.11,Census Tract,G5020,S,261445868,119359,39.9466355,-111.6661157,7911,2036,445518988.1,130662.4922
94,49,049,010503,49049010503,105.03,Census Tract,G5020,S,88580828,645018,40.1360548,-111.7150317,3687,1193,152830141.4,64113.23959
95,49,049,010504,49049010504,105.04,Census Tract,G5020,S,63260123,16518,40.0589715,-111.7636999,3942,1215,108136172.2,53236.14374
453,49,049,010505,49049010505,105.05,Census Tract,G5020,S,5500630,1204,39.9845777,-111.7846095,5087,1373,9382581.539,13024.28807
454,49,049,010506,49049010506,105.06,Census Tract,G5020,S,7225272,110911,39.9647734,-111.8015089,2109,637,12502905.7,17198.16185
90,49,049,010600,49049010600,106,Census Tract,G5020,S,682441977,248293,39.972361,-111.9783615,5884,1599,1163819186,261120.3837
455,49,049,010700,49049010700,107,Census Tract,G5020,S,5471091,0,40.3949516,-111.7831957,5310,1508,9442716.746,12905.29864
96,49,049,010900,49049010900,109,Census Tract,G5020,S,2393995115,448739,40.0668653,-111.3869803,1094,703,4092892820,484822.3829
422,49,001,100100,49001100100,1001,Census Tract,G5020,S,1357843756,830378,38.3450604,-112.5833973,4426,1804,2212103713,232944.8792
611,49,035,100100,49035100100,1001,Census Tract,G5020,S,4024237,0,40.7906107,-111.910117,2987,2014,7027600.547,15932.45317
421,49,001,100200,49001100200,1002,Census Tract,G5020,S,5331838094,4468088,38.3601337,-113.4015527,2646,1059,8692729690,427884.294
562,49,035,100200,49035100200,1002,Census Tract,G5020,S,23730782,0,40.8122772,-111.8703688,1333,589,41468319.45,36458.44211
612,49,035,100306,49035100306,1003.06,Census Tract,G5020,S,1790191,0,40.7751654,-111.9444261,6043,2509,3124794.691,7919.704207
703,49,035,100307,49035100307,1003.07,Census Tract,G5020,S,1449058,0,40.7954833,-111.9456454,4968,1220,2530887.844,8340.012819
27,49,035,100308,49035100308,1003.08,Census Tract,G5020,S,1380994,0,40.7949871,-111.9387476,4025,1313,2411970.84,10568.52824
613,49,035,100500,49035100500,1005,Census Tract,G5020,S,1884464,0,40.7866777,-111.9243102,5893,2283,3290482.59,8596.245528
614,49,035,100600,49035100600,1006,Census Tract,G5020,S,2936104,0,40.7769433,-111.924706,6699,2479,5125269.395,9995.540063
615,49,035,100700,49035100700,1007,Census Tract,G5020,S,1133917,0,40.7812767,-111.894669,2683,1640,1979622.828,8094.76284
616,49,035,100800,49035100800,1008,Census Tract,G5020,S,724107,0,40.7729748,-111.8928665,2562,1806,1263851.871,4915.971645
617,49,035,101000,49035101000,1010,Census Tract,G5020,S,1426315,0,40.7804596,-111.8740038,3127,1516,2490041.84,9847.619612
689,49,035,101101,49035101101,1011.01,Census Tract,G5020,S,484334,0,40.7727949,-111.8753074,1973,1172,845341.9844,3695.457866
685,49,035,101102,49035101102,1011.02,Census Tract,G5020,S,559108,0,40.773022,-111.8831699,3431,2355,975865.6953,4849.805355
606,49,035,101200,49035101200,1012,Census Tract,G5020,S,1739703,0,40.7743878,-111.8613783,3972,2269,3036600.254,7583.721634
314,49,035,101401,49035101401,1014.01,Census Tract,G5020,S,1361536,0,40.7543922,-111.8428678,2171,1119,2375104.441,6492.757819
324,49,035,101402,49035101402,1014.02,Census Tract,G5020,S,9390514,0,40.7673751,-111.8275153,4339,567,16387428.06,21903.64432
504,49,035,101500,49035101500,1015,Census Tract,G5020,S,824034,0,40.7650072,-111.857402,3288,1790,1437922.09,4806.199391
505,49,035,101600,49035101600,1016,Census Tract,G5020,S,992521,0,40.7553814,-111.8575716,3742,2005,1731435.59,5496.619385
506,49,035,101700,49035101700,1017,Census Tract,G5020,S,701146,0,40.7650052,-111.8667584,3582,2237,1223485.75,4470.547563
507,49,035,101800,49035101800,1018,Census Tract,G5020,S,876555,0,40.7552002,-111.8667583,3347,2054,1529120.926,5145.214838
508,49,035,101900,49035101900,1019,Census Tract,G5020,S,699486,0,40.765004,-111.8753495,3103,2182,1220591.641,4466.363764
509,49,035,102000,49035102000,1020,Census Tract,G5020,S,874229,0,40.7552213,-111.8753468,2837,1700,1525066.074,5104.263514
563,49,035,102100,49035102100,1021,Census Tract,G5020,S,466832,0,40.765001,-111.8825026,2378,1784,814614.0117,3831.835714
529,49,035,102300,49035102300,1023,Census Tract,G5020,S,817356,0,40.7549061,-111.8837235,3153,1812,1425842.125,5107.557073
318,49,035,102501,49035102501,1025.01,Census Tract,G5020,S,1033340,0,40.7680562,-111.9032949,3134,2102,1803325.082,5937.841334
317,49,035,102502,49035102502,1025.02,Census Tract,G5020,S,810983,0,40.7628032,-111.9038924,2062,1308,1415057.195,5660.56577
530,49,035,102600,49035102600,1026,Census Tract,G5020,S,2449681,0,40.7613194,-111.9181936,4391,1519,4274175.258,10056.17674
706,49,035,102701,49035102701,1027.01,Census Tract,G5020,S,1399528,0,40.75387,-111.9305522,4752,1707,2441346.625,6856.381658
684,49,035,102702,49035102702,1027.02,Census Tract,G5020,S,1698067,0,40.7647389,-111.9321856,3704,1171,2963070.563,7260.430443
490,49,035,102801,49035102801,1028.01,Census Tract,G5020,S,2778928,0,40.7450893,-111.9225573,5919,1816,4846291.836,10106.564
533,49,035,102802,49035102802,1028.02,Census Tract,G5020,S,5260249,0,40.7327185,-111.9216317,4888,1321,9170197.059,12708.20639
491,49,035,102900,49035102900,1029,Census Tract,G5020,S,3770811,0,40.7378521,-111.8965061,5768,2867,6574669.672,11469.4041
492,49,035,103000,49035103000,1030,Census Tract,G5020,S,1313024,0,40.7457026,-111.879636,2756,1303,2289884.203,6218.610965
