X,Y,Z,Name,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,NAME2
583540.782583577,4463421.5065803,0,9405.02,"49","013","940502",1400000US49013940502,"49013940502",Census Tract 9405.02,UT,Duchesne County,Utah,CT,"66640490","51513",9405.02
573753.39985041,4450377.23684502,0,9406,"49","013","940600",1400000US49013940600,"49013940600",Census Tract 9406,UT,Duchesne County,Utah,CT,"2044714620","5910906",9406
508249.863054062,4360172.53065644,0,9762,"49","015","976200",1400000US49015976200,"49015976200",Census Tract 9762,UT,Emery County,Utah,CT,"2071632114","5400791",9762
487707.764406639,4351179.92283578,0,9763,"49","015","976300",1400000US49015976300,"49015976300",Census Tract 9763,UT,Emery County,Utah,CT,"703042428","5277403",9763
528602.814454093,4315143.92305264,0,9765,"49","015","976500",1400000US49015976500,"49015976500",Census Tract 9765,UT,Emery County,Utah,CT,"8782568293","14165655",9765
374267.731349923,4189412.60871208,0,3,"49","017","000300",1400000US49017000300,"49017000300",Census Tract 3,UT,Garfield County,Utah,CT,"2073182008","5025436",3
469353.484647568,4188664.96475886,0,4,"49","017","000400",1400000US49017000400,"49017000400",Census Tract 4,UT,Garfield County,Utah,CT,"11330390585","80585346",4
628513.179280487,4268544.51043543,0,2,"49","019","000200",1400000US49019000200,"49019000200",Census Tract 2,UT,Grand County,Utah,CT,"35570158","1004192",2
627151.307115786,4271846.42078499,0,2,"49","019","000200",1400000US49019000200,"49019000200",Census Tract 2,UT,Grand County,Utah,CT,"35570158","1004192",2
636810.160679976,4267198.66139833,0,3.01,"49","019","000301",1400000US49019000301,"49019000301",Census Tract 3.01,UT,Grand County,Utah,CT,"118496149","29863",3.01
623451.417783655,4317588.5096914,0,3.02,"49","019","000302",1400000US49019000302,"49019000302",Census Tract 3.02,UT,Grand County,Utah,CT,"9358295385","30518223",3.02
340845.333929241,4190141.72182313,0,1101,"49","021","110100",1400000US49021110100,"49021110100",Census Tract 1101,UT,Iron County,Utah,CT,"2267334253","1076902",1101
319092.909526929,4179878.94329356,0,1102.01,"49","021","110201",1400000US49021110201,"49021110201",Census Tract 1102.01,UT,Iron County,Utah,CT,"12397351","0",1102.01
309146.80582706,4202441.05307443,0,1102.02,"49","021","110202",1400000US49021110202,"49021110202",Census Tract 1102.02,UT,Iron County,Utah,CT,"1043046897","1138856",1102.02
270573.179790882,4191884.96111131,0,1103,"49","021","110300",1400000US49021110300,"49021110300",Census Tract 1103,UT,Iron County,Utah,CT,"4274439054","4490103",1103
317140.182932098,4171047.57867975,0,1104,"49","021","110400",1400000US49021110400,"49021110400",Census Tract 1104,UT,Iron County,Utah,CT,"2942442","0",1104
318038.160306027,4175432.21855388,0,1105.01,"49","021","110501",1400000US49021110501,"49021110501",Census Tract 1105.01,UT,Iron County,Utah,CT,"3777818","0",1105.01
324251.099226485,4176769.42816567,0,1105.02,"49","021","110502",1400000US49021110502,"49021110502",Census Tract 1105.02,UT,Iron County,Utah,CT,"123098666","0",1105.02
318339.344065063,4171844.14709653,0,1106.01,"49","021","110601",1400000US49021110601,"49021110601",Census Tract 1106.01,UT,Iron County,Utah,CT,"1273316","0",1106.01
321477.858532648,4162009.62311292,0,1106.02,"49","021","110602",1400000US49021110602,"49021110602",Census Tract 1106.02,UT,Iron County,Utah,CT,"340491436","127606",1106.02
298349.047887115,4161456.90509614,0,1107.02,"49","021","110702",1400000US49021110702,"49021110702",Census Tract 1107.02,UT,Iron County,Utah,CT,"438263163","4557489",1107.02
315299.240655009,4171705.7738448,0,1107.03,"49","021","110703",1400000US49021110703,"49021110703",Census Tract 1107.03,UT,Iron County,Utah,CT,"4377237","0",1107.03
316088.845640999,4176590.49873833,0,1107.04,"49","021","110704",1400000US49021110704,"49021110704",Census Tract 1107.04,UT,Iron County,Utah,CT,"26032752","0",1107.04
426694.168305451,4396141.03331319,0,101,"49","023","010100",1400000US49023010100,"49023010100",Census Tract 101,UT,Juab County,Utah,CT,"51298337","0",101
338496.71649818,4390746.19896716,0,102,"49","023","010200",1400000US49023010200,"49023010200",Census Tract 102,UT,Juab County,Utah,CT,"8733109185","36542088",102
443903.004294316,4125264.95775038,0,1301,"49","025","130100",1400000US49025130100,"49025130100",Census Tract 1301,UT,Kane County,Utah,CT,"9654691889","305948983",1301
369817.653361907,4112281.5577665,0,1302,"49","025","130200",1400000US49025130200,"49025130200",Census Tract 1302,UT,Kane County,Utah,CT,"679220696","220221",1302
380059.676612794,4358251.6196141,0,9741,"49","027","974100",1400000US49027974100,"49027974100",Census Tract 9741,UT,Millard County,Utah,CT,"1227915842","8816332",9741
281913.844027361,4326725.55845905,0,9742,"49","027","974200",1400000US49027974200,"49027974200",Census Tract 9742,UT,Millard County,Utah,CT,"11194517883","119717119",9742
361434.07253948,4312557.47813389,0,9743,"49","027","974300",1400000US49027974300,"49027974300",Census Tract 9743,UT,Millard County,Utah,CT,"5151929847","4778364",9743
464640.41832264,4561903.32619161,0,9701.01,"49","029","970101",1400000US49029970101,"49029970101",Census Tract 9701.01,UT,Morgan County,Utah,CT,"931453609","1632537",9701.01
447528.499549346,4541545.67447141,0,9701.02,"49","029","970102",1400000US49029970102,"49029970102",Census Tract 9701.02,UT,Morgan County,Utah,CT,"79770416","0",9701.02
442996.967630801,4534545.24814702,0,9702,"49","029","970200",1400000US49029970200,"49029970200",Census Tract 9702,UT,Morgan County,Utah,CT,"566515386","2804832",9702
404463.241208414,4242756.28884738,0,9601,"49","031","960100",1400000US49031960100,"49031960100",Census Tract 9601,UT,Piute County,Utah,CT,"1964345826","20285697",9601
480143.589198855,4602337.84727985,0,9501,"49","033","950100",1400000US49033950100,"49033950100",Census Tract 9501,UT,Rich County,Utah,CT,"2664700959","149106532",9501
423193.508712762,4516321.1812688,0,1001,"49","035","100100",1400000US49035100100,"49035100100",Census Tract 1001,UT,Salt Lake County,Utah,CT,"4024237","0",1001
425668.921027664,4518005.45217746,0,1002,"49","035","100200",1400000US49035100200,"49035100200",Census Tract 1002,UT,Salt Lake County,Utah,CT,"23730782","0",1002
420310.448023371,4514155.6905434,0,1003.06,"49","035","100306",1400000US49035100306,"49035100306",Census Tract 1003.06,UT,Salt Lake County,Utah,CT,"1790191","0",1003.06
420181.214389076,4516539.4801918,0,1003.07,"49","035","100307",1400000US49035100307,"49035100307",Census Tract 1003.07,UT,Salt Lake County,Utah,CT,"1449058","0",1003.07
420751.235408875,4516341.40318395,0,1003.08,"49","035","100308",1400000US49035100308,"49035100308",Census Tract 1003.08,UT,Salt Lake County,Utah,CT,"1380994","0",1003.08
421973.191850457,4515494.13082472,0,1005,"49","035","100500",1400000US49035100500,"49035100500",Census Tract 1005,UT,Salt Lake County,Utah,CT,"1884464","0",1005
421961.061154364,4514542.43357941,0,1006,"49","035","100600",1400000US49035100600,"49035100600",Census Tract 1006,UT,Salt Lake County,Utah,CT,"2936104","0",1006
424336.743538773,4515215.44636854,0,1007,"49","035","100700",1400000US49035100700,"49035100700",Census Tract 1007,UT,Salt Lake County,Utah,CT,"1133917","0",1007
424610.974355878,4513861.2597044,0,1008,"49","035","100800",1400000US49035100800,"49035100800",Census Tract 1008,UT,Salt Lake County,Utah,CT,"724107","0",1008
426587.029143125,4515021.09967794,0,1010,"49","035","101000",1400000US49035101000,"49035101000",Census Tract 1010,UT,Salt Lake County,Utah,CT,"1426315","0",1010
426131.737288435,4513781.67827508,0,1011.01,"49","035","101101",1400000US49035101101,"49035101101",Census Tract 1011.01,UT,Salt Lake County,Utah,CT,"484334","0",1011.01
425534.056746668,4514151.17777213,0,1011.02,"49","035","101102",1400000US49035101102,"49035101102",Census Tract 1011.02,UT,Salt Lake County,Utah,CT,"559108","0",1011.02
427267.553070177,4514210.94960649,0,1012,"49","035","101200",1400000US49035101200,"49035101200",Census Tract 1012,UT,Salt Lake County,Utah,CT,"1739703","0",1012
428866.597839842,4511787.81917488,0,1014.01,"49","035","101401",1400000US49035101401,"49035101401",Census Tract 1014.01,UT,Salt Lake County,Utah,CT,"1361536","0",1014.01
429957.305707671,4513656.89485233,0,1014.02,"49","035","101402",1400000US49035101402,"49035101402",Census Tract 1014.02,UT,Salt Lake County,Utah,CT,"9390514","0",1014.02
