YEAR,GEOID20,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,ACS_PCT_UNINSURED
2020,49035113023,49035,49,Utah,Salt Lake County,West,7.82
2020,49035113024,49035,49,Utah,Salt Lake County,West,5.99
2020,49035113025,49035,49,Utah,Salt Lake County,West,6.25
2020,49035113101,49035,49,Utah,Salt Lake County,West,7.23
2020,49035113102,49035,49,Utah,Salt Lake County,West,4.48
2020,49035113105,49035,49,Utah,Salt Lake County,West,2.85
2020,49035113108,49035,49,Utah,Salt Lake County,West,10.49
2020,49035113109,49035,49,Utah,Salt Lake County,West,3.84
2020,49035113110,49035,49,Utah,Salt Lake County,West,1.07
2020,49035113111,49035,49,Utah,Salt Lake County,West,4.03
2020,49035113112,49035,49,Utah,Salt Lake County,West,1.18
2020,49035113113,49035,49,Utah,Salt Lake County,West,4.53
2020,49035113114,49035,49,Utah,Salt Lake County,West,1.16
2020,49035113307,49035,49,Utah,Salt Lake County,West,29.63
2020,49035113308,49035,49,Utah,Salt Lake County,West,29.03
2020,49035113309,49035,49,Utah,Salt Lake County,West,21.03
2020,49035113310,49035,49,Utah,Salt Lake County,West,12.99
2020,49035113311,49035,49,Utah,Salt Lake County,West,24.01
2020,49035113312,49035,49,Utah,Salt Lake County,West,20.08
2020,49035113313,49035,49,Utah,Salt Lake County,West,21.63
2020,49035113314,49035,49,Utah,Salt Lake County,West,30.76
2020,49035113406,49035,49,Utah,Salt Lake County,West,25.58
2020,49035113408,49035,49,Utah,Salt Lake County,West,18.55
2020,49035113409,49035,49,Utah,Salt Lake County,West,11.24
2020,49035113410,49035,49,Utah,Salt Lake County,West,11.85
2020,49035113411,49035,49,Utah,Salt Lake County,West,6.03
2020,49035113412,49035,49,Utah,Salt Lake County,West,14.56
2020,49035113413,49035,49,Utah,Salt Lake County,West,13.02
2020,49035113414,49035,49,Utah,Salt Lake County,West,19.09
2020,49035113415,49035,49,Utah,Salt Lake County,West,18.75
2020,49035113505,49035,49,Utah,Salt Lake County,West,16.8
2020,49035113509,49035,49,Utah,Salt Lake County,West,23.68
2020,49035113510,49035,49,Utah,Salt Lake County,West,13.89
2020,49035113511,49035,49,Utah,Salt Lake County,West,6.96
2020,49035113512,49035,49,Utah,Salt Lake County,West,27.45
2020,49035113513,49035,49,Utah,Salt Lake County,West,17.59
2020,49035113514,49035,49,Utah,Salt Lake County,West,16.71
2020,49035113515,49035,49,Utah,Salt Lake County,West,10.69
2020,49035113520,49035,49,Utah,Salt Lake County,West,21.11
2020,49035113521,49035,49,Utah,Salt Lake County,West,12.63
2020,49035113522,49035,49,Utah,Salt Lake County,West,4.04
2020,49035113523,49035,49,Utah,Salt Lake County,West,16.52
2020,49035113526,49035,49,Utah,Salt Lake County,West,14.54
2020,49035113527,49035,49,Utah,Salt Lake County,West,13.26
2020,49035113528,49035,49,Utah,Salt Lake County,West,4.28
2020,49035113532,49035,49,Utah,Salt Lake County,West,6.55
2020,49035113533,49035,49,Utah,Salt Lake County,West,7.33
2020,49035113536,49035,49,Utah,Salt Lake County,West,27.17
2020,49035113537,49035,49,Utah,Salt Lake County,West,20.76
2020,49035113538,49035,49,Utah,Salt Lake County,West,6.93
2020,49035113539,49035,49,Utah,Salt Lake County,West,22.06
2020,49035113540,49035,49,Utah,Salt Lake County,West,2.74
2020,49035113541,49035,49,Utah,Salt Lake County,West,4.81
2020,49035113542,49035,49,Utah,Salt Lake County,West,3
2020,49035113543,49035,49,Utah,Salt Lake County,West,4.3
2020,49035113544,49035,49,Utah,Salt Lake County,West,15.43
2020,49035113545,49035,49,Utah,Salt Lake County,West,8.06
2020,49035113600,49035,49,Utah,Salt Lake County,West,19.08
2020,49035113701,49035,49,Utah,Salt Lake County,West,8.25
2020,49035113702,49035,49,Utah,Salt Lake County,West,15.84
2020,49035113801,49035,49,Utah,Salt Lake County,West,16.36
2020,49035113802,49035,49,Utah,Salt Lake County,West,23.6
2020,49035113804,49035,49,Utah,Salt Lake County,West,12.19
2020,49035113805,49035,49,Utah,Salt Lake County,West,7.62
2020,49035113903,49035,49,Utah,Salt Lake County,West,14.13
2020,49035113904,49035,49,Utah,Salt Lake County,West,22.01
2020,49035113905,49035,49,Utah,Salt Lake County,West,8.01
2020,49035113906,49035,49,Utah,Salt Lake County,West,14.4
2020,49035113908,49035,49,Utah,Salt Lake County,West,10.61
2020,49035113909,49035,49,Utah,Salt Lake County,West,4.75
2020,49035114000,49035,49,Utah,Salt Lake County,West,7.69
2020,49035114100,49035,49,Utah,Salt Lake County,West,4.4
2020,49035114200,49035,49,Utah,Salt Lake County,West,6.46
2020,49035114301,49035,49,Utah,Salt Lake County,West,7.24
2020,49035114302,49035,49,Utah,Salt Lake County,West,5.61
2020,49035114303,49035,49,Utah,Salt Lake County,West,4.05
2020,49035114304,49035,49,Utah,Salt Lake County,West,1.69
2020,49035114500,49035,49,Utah,Salt Lake County,West,14.05
2020,49035114601,49035,49,Utah,Salt Lake County,West,3.58
2020,49035114602,49035,49,Utah,Salt Lake County,West,3.87
2020,49035114700,49035,49,Utah,Salt Lake County,West,12.82
2020,49035114800,49035,49,Utah,Salt Lake County,West,1.75
2020,49035115107,49035,49,Utah,Salt Lake County,West,2.36
2020,49035115108,49035,49,Utah,Salt Lake County,West,6.67
2020,49035115109,49035,49,Utah,Salt Lake County,West,1.12
2020,49035115210,49035,49,Utah,Salt Lake County,West,1.24
2020,49035115211,49035,49,Utah,Salt Lake County,West,11.74
2020,49035980000,49035,49,Utah,Salt Lake County,West,
2020,49035980100,49035,49,Utah,Salt Lake County,West,
2020,49037942000,49037,49,Utah,San Juan County,West,30.21
2020,49037942100,49037,49,Utah,San Juan County,West,37.21
2020,49037978100,49037,49,Utah,San Juan County,West,11.57
2020,49037978200,49037,49,Utah,San Juan County,West,10.87
2020,49039972101,49039,49,Utah,Sanpete County,West,12.87
2020,49039972102,49039,49,Utah,Sanpete County,West,5.85
2020,49039972200,49039,49,Utah,Sanpete County,West,12.3
2020,49039972300,49039,49,Utah,Sanpete County,West,15.37
2020,49039972401,49039,49,Utah,Sanpete County,West,13.13
2020,49039972402,49039,49,Utah,Sanpete County,West,12.86
2020,49039972500,49039,49,Utah,Sanpete County,West,10.61
2020,49041975100,49041,49,Utah,Sevier County,West,6.91
2020,49041975200,49041,49,Utah,Sevier County,West,6.93
2020,49041975300,49041,49,Utah,Sevier County,West,11.56
2020,49041975400,49041,49,Utah,Sevier County,West,7.08
2020,49041975500,49041,49,Utah,Sevier County,West,12.93
2020,49043964101,49043,49,Utah,Summit County,West,7.15
2020,49043964103,49043,49,Utah,Summit County,West,0
2020,49043964104,49043,49,Utah,Summit County,West,5.97
2020,49043964201,49043,49,Utah,Summit County,West,9.18
2020,49043964202,49043,49,Utah,Summit County,West,7.33
2020,49043964203,49043,49,Utah,Summit County,West,0
2020,49043964303,49043,49,Utah,Summit County,West,0.32
2020,49043964304,49043,49,Utah,Summit County,West,5.61
2020,49043964305,49043,49,Utah,Summit County,West,9.5
2020,49043964306,49043,49,Utah,Summit County,West,3.43
2020,49043964307,49043,49,Utah,Summit County,West,4.88
2020,49043964308,49043,49,Utah,Summit County,West,2.99
2020,49043964401,49043,49,Utah,Summit County,West,11.47
2020,49043964402,49043,49,Utah,Summit County,West,14.01
2020,49045130600,49045,49,Utah,Tooele County,West,20.17
2020,49045130701,49045,49,Utah,Tooele County,West,5.62
2020,49045130704,49045,49,Utah,Tooele County,West,1.38
2020,49045130705,49045,49,Utah,Tooele County,West,3.76
2020,49045130706,49045,49,Utah,Tooele County,West,5.68
2020,49045130707,49045,49,Utah,Tooele County,West,3.38
2020,49045130708,49045,49,Utah,Tooele County,West,2.63
2020,49045130800,49045,49,Utah,Tooele County,West,9.29
2020,49045130900,49045,49,Utah,Tooele County,West,12.82
2020,49045131001,49045,49,Utah,Tooele County,West,5.91
2020,49045131003,49045,49,Utah,Tooele County,West,12.21
2020,49045131004,49045,49,Utah,Tooele County,West,8.48
